,SalePrice,LotArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars
43,130250,9200,938,1,0,1,0,3,1,0,1
44,141000,7945,1150,1,0,1,0,3,1,0,1
45,319900,7658,1752,1,0,2,0,2,1,1,2
46,239686,12822,2149,1,0,1,1,1,1,1,2
47,249700,11096,1656,0,0,2,0,3,1,0,3
48,113000,4456,1452,0,0,2,0,2,3,0,0
49,127000,7742,955,1,0,1,0,3,1,0,1
50,177000,13869,1470,0,1,2,0,3,1,0,2
51,114500,6240,1176,0,0,1,0,3,1,1,2
52,110000,8472,816,1,0,1,0,2,1,0,2
54,130000,7134,1360,0,0,1,0,3,1,1,2
55,180500,10175,1425,0,0,2,0,3,1,1,2
56,172500,2645,1739,1,0,2,1,3,1,0,2
57,196500,11645,1720,0,0,2,1,3,1,0,2
58,438780,13682,2945,0,0,3,1,3,1,1,3
59,124900,7200,780,0,0,1,0,2,1,0,1
60,158000,13072,1158,1,0,1,1,3,1,0,2
61,101000,7200,1111,0,0,1,0,3,1,0,1
62,202500,6442,1370,0,0,2,0,2,1,1,2
63,140000,10300,1710,0,0,2,0,3,1,0,2
64,219500,9375,2034,1,0,2,1,3,1,0,2
65,317000,9591,2473,0,0,2,1,4,1,1,3
66,180000,19900,2207,1,0,2,0,3,1,1,2
67,226000,10665,1479,1,0,2,0,3,1,0,2
68,80000,4608,747,0,0,1,0,2,1,0,1
69,225000,15593,2287,0,0,2,0,3,1,1,2
70,244000,13651,2223,1,0,2,0,3,1,2,2
71,129500,7599,845,1,0,1,0,2,1,0,2
72,185000,10141,1718,0,0,2,1,3,1,1,2
73,144900,10200,1086,1,0,1,0,3,1,0,2
74,107400,5790,1605,0,0,2,0,3,2,0,1
75,91000,1596,988,1,0,1,0,2,1,0,1
76,135750,8475,952,0,0,1,0,2,1,0,1
77,127000,8635,1285,1,0,1,0,2,1,0,1
78,136500,10778,1768,0,0,2,0,4,2,0,0
79,110000,10440,1230,0,0,1,1,2,1,0,2
80,193500,13000,2142,0,0,2,1,4,1,1,1
81,153500,4500,1337,1,0,2,0,2,1,0,2
82,245000,10206,1563,0,0,2,0,3,1,1,3
83,126500,8892,1065,0,0,1,1,3,1,0,2
84,168500,8530,1474,0,0,2,1,3,1,1,2
85,260000,16059,2417,0,0,2,1,4,1,1,2
86,174000,11911,1560,0,0,2,1,3,1,1,2
87,164500,3951,1224,0,0,2,1,2,1,0,2
88,85000,8470,1526,0,0,1,0,2,1,0,0
89,123600,8070,990,1,0,1,0,3,1,0,0
90,109900,7200,1040,0,0,1,0,2,1,0,2
91,98600,8500,1235,0,0,1,0,2,1,0,2
92,163500,13360,964,1,0,1,0,2,1,0,2
93,133900,7200,2291,0,1,2,0,4,2,1,2
94,204750,9337,1786,1,0,2,1,3,1,0,2
95,185000,9765,1470,0,0,2,1,3,1,1,2
96,214000,10264,1588,0,0,2,0,3,1,0,2
97,94750,10921,960,1,0,1,0,3,1,0,1
98,83000,10625,835,0,0,1,0,2,1,0,1
99,128950,9320,1225,1,0,1,1,3,1,0,0
100,205000,10603,1610,1,0,2,0,3,1,2,2
101,178000,9206,1732,0,0,2,1,3,1,1,2
102,118964,7018,1535,0,0,2,0,4,2,0,2
103,198900,10402,1226,0,0,2,0,3,1,0,3
104,169500,7758,1818,0,0,1,1,4,1,2,1
105,250000,9375,1992,0,0,2,1,3,1,1,2
106,100000,10800,1047,0,0,1,0,2,1,0,1
107,115000,6000,789,0,0,1,0,2,1,0,1
108,115000,8500,1517,0,0,2,0,3,1,0,0
109,190000,11751,1844,0,0,2,0,3,1,1,2
110,136900,9525,1855,0,0,2,0,4,1,0,1
111,180000,7750,1430,0,0,2,1,3,1,1,2
112,383970,9965,2696,1,0,2,1,4,1,1,3
113,217000,21000,2259,1,0,2,0,3,1,2,2
114,259500,7259,2320,1,0,2,1,3,1,1,1
115,176000,3230,1458,0,0,2,1,2,1,1,2
116,139000,11616,1092,0,1,1,0,3,1,1,1
117,155000,8536,1125,0,0,1,1,2,1,0,2
118,320000,12376,3222,1,0,3,0,5,1,2,3
119,163990,8461,1456,0,0,2,1,3,1,1,2
120,180000,21453,988,1,0,1,0,1,1,2,2
121,100000,6060,1123,0,0,1,0,3,1,0,1
122,136000,9464,1080,0,0,1,0,3,1,0,1
123,153900,7892,1199,0,0,2,0,2,1,0,2
124,181000,17043,1586,0,0,2,0,3,1,1,2
125,84500,6780,754,1,0,1,0,2,1,0,0
126,128000,4928,958,0,0,2,0,2,1,1,2
127,87000,4388,840,0,0,1,0,3,1,1,0
128,155000,7590,1348,0,0,1,1,3,1,1,2
129,150000,8973,1053,0,1,1,1,3,1,0,2
130,226000,14200,2157,0,0,2,1,4,1,2,2
131,244000,12224,2054,1,0,2,1,3,1,1,2
132,150750,7388,1327,1,0,1,0,3,1,0,2
133,220000,6853,1296,1,0,2,0,2,1,0,2
134,180000,10335,1721,0,0,2,1,3,1,1,2
135,174000,10400,1682,0,0,2,0,3,1,1,2
136,143000,10355,1214,0,0,2,0,3,1,1,1
137,171000,11070,1959,0,0,3,0,5,2,0,3
138,230000,9066,1852,0,0,2,1,3,1,2,3
139,231500,15426,1764,1,0,2,1,3,1,0,2
140,115000,10500,864,0,0,1,0,3,1,1,0
141,260000,11645,1734,1,0,2,0,3,1,0,2
142,166000,8520,1385,0,0,2,0,4,1,0,2
143,204000,10335,1501,1,0,2,0,3,1,0,2
144,125000,9100,1728,1,0,2,0,6,2,0,2
145,130000,2522,1709,0,0,2,0,3,1,0,2
146,105000,6120,875,1,0,1,0,2,1,0,1
147,222500,9505,2035,0,0,2,1,3,1,1,2
148,141000,7500,1080,1,0,1,0,3,1,0,0
149,115000,6240,1344,0,0,1,0,3,1,0,1
150,122000,10356,969,0,0,1,1,3,1,0,2
151,372402,13891,1710,1,0,2,0,2,1,1,3
152,190000,14803,1993,0,0,2,1,4,1,1,2
153,235000,13500,1252,1,0,1,0,1,1,1,2
154,125000,11340,1200,0,0,1,0,4,1,0,1
155,79000,9600,1096,0,0,1,0,2,1,0,0
156,109500,7200,1040,0,0,1,0,2,1,0,2
157,269500,12003,1968,0,0,2,1,4,1,1,3
158,254900,12552,1947,0,0,2,1,3,1,1,2
159,320000,19378,2462,1,0,2,1,4,1,1,2
160,162500,11120,1232,0,0,2,0,3,1,0,2
161,412500,13688,2668,1,0,2,1,3,1,2,3
162,220000,12182,1541,0,0,2,0,3,1,1,2
163,103200,5500,882,0,0,1,0,1,1,0,0
164,152000,5400,1616,0,0,2,0,3,1,0,1
165,127500,10106,1355,1,0,2,0,4,2,0,0
166,190000,10708,1867,1,0,1,0,2,1,3,1
167,325624,10562,2161,1,0,1,1,3,1,1,3
168,183500,8244,1720,0,0,2,1,3,1,1,2
169,228000,16669,1707,0,0,2,1,2,1,1,2
170,128500,12358,1382,0,0,1,1,2,1,0,2
172,239000,5306,1767,1,0,2,0,2,1,1,2
173,163000,10197,1362,1,0,1,1,3,1,1,2
174,184000,12416,1651,1,0,2,0,3,1,1,2
175,243000,12615,2158,1,0,2,0,4,1,1,2
176,211000,10029,2060,0,1,2,1,4,1,1,2
177,172500,13650,1920,1,0,2,0,4,1,1,2
178,501837,17423,2234,1,0,2,0,1,1,1,3
179,100000,8520,968,0,0,1,0,2,1,0,2
180,177000,2117,1525,0,0,2,1,3,1,1,2
181,200100,7588,1802,0,0,1,1,4,1,1,1
182,120000,9060,1340,0,0,1,0,3,1,1,1
183,200000,11426,2082,0,0,2,1,3,1,0,2
184,127000,7438,1252,0,0,1,0,3,1,0,2
185,475000,22950,3608,0,0,2,1,4,1,2,3
186,173000,9947,1217,1,0,2,0,3,1,0,2
187,135000,10410,1656,0,0,2,1,3,1,0,1
188,153337,7018,1224,2,0,0,2,2,2,2,2
189,286000,4923,1593,1,0,1,1,0,1,1,2
190,315000,10570,2727,0,0,2,1,3,1,2,2
191,184000,7472,1479,1,0,1,1,4,1,0,2
192,192000,9017,1431,1,0,2,0,3,1,0,2
193,130000,2522,1709,0,0,2,0,3,1,0,2
194,127000,7180,864,0,0,1,0,3,1,0,1
195,148500,2280,1456,0,0,2,1,3,1,1,2
196,311872,9416,1726,1,0,2,0,3,1,1,3
197,235000,25419,3112,1,1,2,0,4,1,1,2
198,104000,5520,2229,0,0,1,0,5,1,0,0
199,274900,9591,1713,1,0,2,0,3,1,1,3
200,140000,8546,1121,0,0,2,0,2,1,0,2
201,171500,10125,1279,0,1,2,0,3,1,2,2
202,112000,7000,1310,0,0,2,0,2,1,0,1
203,149000,4438,848,1,0,1,0,1,1,1,2
204,110000,3500,1284,0,0,1,1,2,1,0,1
205,180500,11851,1442,0,0,2,0,3,1,0,2
206,143900,13673,1696,0,0,1,1,3,1,1,1
207,141000,12493,1100,1,0,1,0,3,1,1,1
208,277000,14364,2062,1,0,2,1,3,1,1,2
209,145000,8250,1092,1,0,1,0,3,1,0,2
210,98000,5604,864,1,0,1,0,2,1,0,0
211,186000,10420,1212,0,0,2,0,3,1,0,2
212,252678,8640,1852,1,0,2,1,3,1,1,2
213,156000,13568,990,0,1,1,0,3,1,0,2
214,161750,10900,1392,0,0,1,1,3,1,0,1
215,134450,10011,1236,0,1,1,0,2,1,1,1
216,210000,8450,1436,1,0,2,0,3,1,0,2
217,107000,9906,1328,0,0,1,0,3,1,0,1
218,311500,15660,1954,0,1,1,1,3,1,2,2
219,167240,3010,1248,0,0,2,0,2,1,0,2
220,204900,8990,1498,0,0,2,0,2,1,0,2
221,200000,8068,2267,0,0,2,1,4,1,1,2
222,179900,11475,1552,1,0,2,1,3,1,1,2
223,97000,10500,864,0,0,1,0,2,1,0,2
224,386250,13472,2392,0,0,2,0,3,1,1,3
225,112000,1680,1302,0,0,2,1,3,1,0,1
226,290000,9950,2520,0,0,2,1,4,1,1,3
227,106000,1869,987,0,0,1,1,2,1,0,1
228,125000,8521,912,0,0,1,0,3,1,1,1
229,192500,3182,1555,0,0,2,0,2,1,1,2
230,148000,8760,1194,1,0,1,0,3,1,0,1
231,403000,15138,2794,1,0,2,1,4,1,1,3
232,94500,1680,987,0,0,1,1,2,1,1,1
233,128200,10650,894,1,0,1,0,3,1,0,1
234,216500,7851,1960,1,0,2,1,4,1,2,2
235,89500,1680,987,0,0,1,1,2,1,0,1
236,185500,8773,1414,0,0,2,0,3,1,0,2
237,194500,9453,1744,0,0,2,1,3,1,0,2
238,318000,12030,1694,0,0,2,0,3,1,0,3
239,113000,8741,1487,0,0,1,1,3,1,1,1
240,262500,9000,1566,1,0,2,0,3,1,0,2
241,110500,3880,866,0,0,1,0,2,1,0,0
242,79000,5000,1440,0,0,1,0,3,1,0,1
243,120000,10762,1217,0,0,1,1,3,1,1,1
244,205000,8880,2110,1,0,2,1,3,1,2,2
245,241500,10400,1872,0,1,2,0,3,1,1,2
246,137000,9142,1928,0,0,2,0,4,2,0,1
247,140000,11310,1375,0,0,1,0,2,1,1,2
248,180000,11317,1668,0,0,2,1,3,1,0,2
250,76500,5350,1306,0,0,1,0,3,1,0,0
251,235000,4750,1625,1,1,2,0,2,1,1,2
252,173000,8366,1640,0,0,2,1,3,1,0,2
253,158000,9350,1302,0,1,2,0,3,1,0,1
254,145000,8400,1314,1,0,1,0,3,1,0,1
255,230000,8738,2291,0,0,2,1,4,1,1,2
256,207500,8791,1728,0,0,2,1,3,1,0,2
257,220000,8814,1604,1,0,2,1,3,1,1,2
258,231500,12435,1792,0,0,2,1,3,1,1,2
259,97000,12702,882,0,0,1,0,2,1,0,1
260,176000,19296,1382,1,0,1,0,3,1,1,2
261,276000,9588,2574,0,0,2,1,3,1,1,3
262,151000,8471,1212,1,0,1,0,3,1,1,2
263,130000,5500,1316,1,0,1,0,3,1,0,2
264,73000,5232,764,0,0,1,0,2,1,0,2
265,175500,12090,1422,0,0,2,0,3,1,1,2
266,185000,11207,1511,1,0,2,1,3,1,1,2
267,179500,8400,2192,0,0,2,1,4,1,1,1
268,120500,6900,778,0,0,1,0,2,1,1,1
269,148000,7917,1113,1,0,1,1,3,1,1,1
270,266000,10728,1939,0,0,2,1,3,1,1,3
272,290000,11764,2270,0,0,2,1,4,1,1,3
273,139000,9600,1632,1,0,2,0,3,1,1,1
274,124500,8314,816,0,0,1,0,2,1,0,1
275,205000,7264,1548,0,0,2,1,3,1,0,2
276,201000,9196,1560,0,0,2,0,3,1,0,2
277,141000,19138,864,0,0,1,0,2,1,0,2
278,415298,14450,2121,0,0,2,1,3,1,1,3
279,192000,10005,2022,0,0,2,1,4,1,1,2
280,228500,11287,1982,0,0,2,1,3,1,1,2
281,185000,7200,1262,0,0,2,0,2,1,0,2
282,207500,5063,1314,1,0,2,0,2,1,1,2
283,244600,9612,1468,0,0,2,0,3,1,1,3
284,179200,8012,1575,1,0,2,0,2,1,0,2
285,164700,4251,1250,0,0,2,1,2,1,0,2
286,159000,9786,1734,0,0,1,1,3,1,1,2
287,88000,8125,858,0,0,1,0,3,1,0,0
288,122000,9819,900,0,0,1,0,3,1,0,1
289,153575,8730,1396,0,0,1,0,3,1,0,1
290,233230,15611,1919,0,0,2,1,3,1,1,2
291,135900,5687,1716,1,0,2,0,6,1,0,0
292,131000,11409,1716,0,0,1,1,3,1,1,1
293,235000,16659,2263,1,0,2,1,3,1,1,2
294,167000,9600,1644,1,0,1,0,3,1,2,2
295,142500,7937,1003,1,0,1,0,3,1,0,2
296,152000,13710,1558,0,0,1,1,4,1,0,1
297,239000,7399,1950,0,0,2,1,3,1,1,2
298,175000,11700,1743,0,1,1,2,3,1,1,2
299,158500,14000,1152,0,1,1,0,3,1,1,1
300,157000,15750,1336,1,0,1,0,2,1,2,1
301,267000,16226,2452,0,0,2,1,4,1,1,2
302,205000,13704,1541,0,0,2,0,3,1,1,3
303,149900,9800,894,1,0,1,0,3,1,0,2
304,295000,18386,3493,0,0,3,0,3,1,1,3
305,305900,10386,2000,1,0,2,0,3,1,0,3
306,225000,13474,2243,1,0,2,1,4,1,1,3
307,89500,7920,1406,0,0,1,0,3,1,0,0
308,82500,12342,861,0,0,1,0,1,1,0,2
309,360000,12378,1944,1,0,2,0,3,1,3,3
310,165600,7685,1501,0,0,2,1,3,1,1,2
311,132000,8000,972,1,0,1,0,2,1,1,1
312,119900,7800,1118,1,0,1,0,3,1,1,2
314,178000,9600,1641,0,1,1,1,3,1,1,2
315,188500,7795,1432,1,0,2,1,3,1,1,2
316,260000,13005,2353,1,0,2,1,4,1,1,2
317,270000,9000,1959,0,0,2,1,3,1,1,3
318,260000,9900,2646,1,0,2,1,4,1,1,3
319,187500,14115,1472,1,0,2,0,3,1,2,2
320,342643,16259,2596,0,0,3,1,4,1,0,3
321,354000,12099,2468,1,0,2,1,4,1,1,3
322,301000,10380,2730,1,0,2,1,4,1,1,2
323,126175,5820,1163,1,0,1,0,3,1,0,1
324,242000,11275,2978,0,0,2,1,5,1,1,2
325,87000,5000,803,0,0,1,0,2,1,0,2
326,324000,10846,1719,2,0,1,1,1,1,2,2
327,145250,11600,1383,0,0,1,1,3,1,0,1
328,214500,11888,2134,0,0,2,0,5,1,0,2
329,78000,6402,1192,0,0,1,0,3,1,0,1
330,119000,10624,1728,0,1,2,0,6,2,0,1
331,139000,8176,1056,1,0,1,0,3,1,0,1
332,284000,10655,1629,1,0,2,0,3,1,1,3
333,207000,8198,1358,1,0,2,0,2,1,1,2
334,192000,9042,1638,1,0,2,1,3,1,2,2
336,377426,14157,1922,1,0,2,0,3,1,1,3
337,214000,9135,1536,1,0,2,0,3,1,0,2
338,202500,14145,1621,1,0,2,0,3,1,0,2
339,155000,12400,1215,0,0,1,0,3,1,0,1
340,202900,14191,1908,0,0,2,1,4,1,0,2
341,82000,8400,841,0,0,1,0,2,1,0,1
342,87500,8544,1040,0,0,2,0,2,2,0,2
343,266000,8849,1684,0,0,2,0,2,1,1,2
344,85000,2592,1112,0,0,1,1,3,1,0,1
345,140200,6435,1577,0,0,1,0,3,1,1,1
346,151500,12772,958,0,0,1,0,2,1,0,1
347,157500,17600,1478,1,0,2,0,3,1,2,2
348,154000,2448,1626,1,0,2,1,2,1,0,2
349,437154,20431,2728,1,0,2,1,4,1,2,3
350,318061,7820,1869,0,0,2,0,2,1,1,2
351,190000,5271,1453,1,0,1,1,2,1,1,2
352,95000,9084,1111,0,1,1,0,3,1,0,1
353,105900,8520,720,0,0,1,0,2,1,0,2
354,140000,8400,1595,0,0,1,0,2,1,2,1
355,177500,11249,1200,1,0,2,0,3,1,0,2
356,173000,9248,1167,1,0,2,0,3,1,0,2
357,134000,4224,1142,1,0,1,1,3,1,1,2
358,130000,6930,1352,0,1,1,0,3,1,0,1
359,280000,12011,1924,1,0,2,1,3,1,1,2
360,156000,7540,912,1,0,1,0,2,1,1,2
361,145000,9144,1505,1,0,1,0,3,1,0,1
362,198500,7301,1922,0,0,3,0,4,1,1,2
363,118000,1680,987,0,0,1,1,2,1,0,1
364,190000,18800,1574,1,0,2,1,3,1,1,2
365,147000,10690,1344,0,0,1,0,3,1,0,1
366,159000,9500,1394,1,0,1,1,3,1,2,2
367,165000,9150,1431,0,1,1,0,3,1,1,1
368,132000,7800,1268,0,0,1,0,2,1,1,1
369,162000,9830,1287,1,0,1,0,3,1,1,2
370,172400,8121,1664,0,0,2,1,3,1,1,2
371,134432,17120,1588,0,0,2,0,4,1,1,2
372,125000,7175,752,1,0,1,0,2,1,0,1
373,123000,10634,1319,1,0,1,0,3,1,0,1
374,219500,8200,1928,0,0,2,1,4,1,1,2
375,61000,10020,904,1,0,0,1,1,1,0,0
376,148000,8846,914,0,0,1,0,2,1,0,2
377,340000,11143,2466,0,0,3,0,4,1,1,2
378,394432,11394,1856,1,0,1,1,1,1,1,3
379,179000,8123,1800,0,0,2,1,3,1,1,2
380,127000,5000,1691,0,0,2,0,3,1,1,1
381,187750,7200,1301,1,0,2,0,2,1,1,2
382,213500,9245,1797,0,0,2,1,3,1,0,2
383,76000,9000,784,0,0,1,0,2,1,0,2
385,192000,3182,1269,0,0,2,0,2,1,1,2
386,81000,8410,1184,0,0,1,0,5,1,0,0
387,125000,7200,1125,1,0,1,0,3,1,1,1
388,191000,9382,1479,0,0,2,0,3,1,0,2
389,426000,12474,2332,1,0,2,1,3,1,1,3
390,119000,8405,1367,1,0,1,0,4,1,0,1
391,215000,12209,1961,1,0,2,1,3,1,1,2
392,106500,8339,882,0,0,1,0,3,1,0,1
393,100000,7446,788,0,0,1,0,2,1,2,0
394,109000,10134,1034,0,0,1,0,2,1,0,1
395,129000,9571,1144,1,0,1,0,3,1,0,1
396,123000,7200,894,0,0,1,0,2,1,0,2
397,169500,7590,1812,0,0,2,0,4,1,1,1
398,67000,8967,1077,0,0,1,0,2,1,0,1
399,241000,8125,1550,1,0,2,0,2,1,0,2
400,245500,14963,1288,1,0,1,1,1,1,2,2
401,164990,8767,1310,0,0,2,0,3,1,1,2
402,108000,10200,672,0,0,1,0,2,1,0,1
403,258000,12090,2263,0,0,2,1,4,1,1,2
404,168000,10364,1572,0,0,2,1,3,1,1,2
405,150000,9991,1620,1,0,2,0,3,1,1,2
406,115000,10480,1639,0,0,1,0,3,1,0,1
407,177000,15576,1680,0,0,2,0,4,1,0,1
408,280000,14154,2172,0,0,2,1,3,1,1,3
409,339750,10800,2078,1,0,2,1,3,1,1,3
410,60000,9571,1276,0,0,1,0,3,1,0,1
412,222000,4403,1478,1,0,2,1,2,1,1,2
413,115000,8960,1028,0,0,1,0,2,1,1,2
414,228000,11228,2097,0,1,2,1,3,1,1,3
415,181134,8899,1340,0,0,2,0,3,1,0,2
416,149500,7844,1400,0,0,1,1,3,1,1,2
417,239000,22420,2624,1,0,2,1,4,1,1,3
418,126000,8160,1134,1,0,1,1,3,1,0,1
419,142000,8450,1056,1,0,1,0,3,1,1,1
420,206300,7060,1344,2,0,2,0,2,2,0,4
421,215000,16635,1602,0,1,2,0,3,1,1,2
422,113000,21750,988,0,0,1,0,2,1,0,2
423,315000,9200,2630,1,0,2,1,4,1,1,3
424,139000,9000,1196,1,0,1,0,2,1,1,1
425,135000,3378,1389,0,0,1,1,3,1,2,1
426,275000,12800,1644,1,1,2,0,2,1,1,2
427,109008,8593,907,0,0,1,0,3,1,0,1
428,195400,6762,1208,1,0,2,0,2,1,0,2
429,175000,11457,1412,1,0,2,0,3,1,1,2
430,85400,1680,987,0,0,1,1,2,1,0,1
431,79900,5586,1198,0,0,1,0,4,1,0,0
432,122500,1920,1365,1,0,1,1,2,1,0,2
433,181000,10839,1604,0,0,2,1,3,1,1,2
434,81000,1890,630,1,0,1,0,1,1,0,0
435,212000,10667,1661,1,0,2,1,3,1,1,2
436,116000,4400,1118,0,0,1,0,2,1,0,2
437,119000,6000,904,0,0,1,0,2,1,0,1
438,90350,4280,694,0,0,1,0,2,1,1,1
439,110000,12354,1196,0,0,1,0,3,1,0,2
440,555000,15431,2402,1,0,2,0,2,1,2,3
441,118000,12108,1440,0,0,2,0,4,2,0,0
442,162900,6240,1573,0,0,2,0,3,1,1,2
443,172500,3922,1258,0,0,2,0,2,1,1,3
444,210000,8750,1908,1,0,2,1,4,1,1,2
445,127500,9855,1689,0,0,1,0,3,1,1,2
446,190000,16492,1888,0,0,2,1,2,1,1,2
447,199900,11214,1886,0,0,2,1,4,1,1,2
448,119500,8600,1376,0,0,2,0,3,1,1,1
449,120000,6000,1183,0,0,1,1,2,1,0,1
450,110000,5684,813,0,0,1,0,2,1,0,1
452,204000,9303,1756,1,0,2,1,3,1,0,2
453,210000,9000,1590,0,0,2,1,3,1,0,2
454,188000,9297,1728,2,0,2,0,4,2,0,2
455,175500,9600,1242,0,0,1,1,3,1,1,2
456,98000,4571,1344,0,0,1,0,4,1,0,3
458,161000,5100,1666,0,0,1,0,3,1,1,1
459,110000,7015,1203,1,0,1,0,3,1,1,1
460,263435,8004,1935,1,0,2,1,3,1,0,2
461,155000,7200,1135,1,0,1,0,3,1,0,2
462,62383,8281,864,0,0,1,0,3,1,1,1
463,188700,11988,1660,0,0,1,1,3,1,1,1
464,124000,8430,1040,0,0,2,0,3,1,0,0
465,178740,3072,1414,0,0,2,0,2,1,1,2
466,167000,10628,1277,1,0,1,0,2,1,1,2
467,146500,9480,1644,0,0,1,1,3,1,2,1
468,250000,11428,1634,0,0,2,0,3,1,1,3
469,187000,9291,1710,0,0,2,1,3,1,0,2
470,212000,6820,1502,1,0,1,1,1,1,0,2
471,190000,11952,1969,0,0,2,1,3,1,1,2
472,148000,3675,1072,1,0,1,0,2,1,0,2
473,440000,14977,1976,1,0,2,0,2,1,1,3
474,251000,5330,1652,1,0,2,0,2,1,0,2
475,132500,8480,970,1,0,1,0,2,1,0,2
476,208900,13125,1493,1,0,2,0,3,1,1,2
477,380000,13693,2643,0,0,2,1,3,1,1,3
478,297000,10637,1718,1,0,2,0,3,1,1,3
479,89471,5925,1131,0,0,1,0,2,1,0,2
480,326000,16033,1850,1,0,2,0,3,1,1,3
481,374000,11846,1792,1,0,2,0,2,1,1,3
482,155000,2500,1826,1,0,1,1,4,1,1,1
483,164000,4500,1216,1,0,2,0,2,1,0,2
484,132500,7758,999,1,0,1,0,3,1,0,1
485,147000,9600,1113,0,0,1,0,3,1,1,1
486,156000,10289,1073,1,0,1,1,3,1,0,2
487,175000,12243,1484,0,0,2,0,3,1,1,2
488,160000,10800,2414,0,0,2,0,3,2,1,2
489,86000,1526,630,1,0,1,0,1,1,0,1
490,115000,2665,1304,0,0,1,1,3,1,1,1
491,133000,9490,1578,1,0,1,0,3,1,2,1
492,172785,15578,1456,0,0,2,1,3,1,0,2
493,155000,7931,1269,0,0,1,1,3,1,1,1
494,91300,5784,886,0,0,1,0,2,1,0,1
495,34900,7879,720,0,0,1,0,2,1,0,0
496,430000,12692,3228,1,0,3,0,4,1,1,2
497,184000,9120,1820,1,0,2,0,4,1,0,1
498,130000,7800,899,0,0,1,0,3,1,0,1
499,120000,7535,912,0,1,1,0,2,1,0,1
500,113000,1890,1218,0,0,1,1,3,1,0,1
501,226700,9803,1768,0,0,2,1,3,1,0,2
502,140000,9170,1214,1,0,1,0,2,1,0,2
503,289000,15602,1801,1,0,2,0,1,1,2,2
504,147000,2308,1322,0,1,2,1,3,1,1,2
505,124500,7596,1960,0,0,2,0,4,2,0,2
506,215000,9554,1911,0,0,2,1,3,1,1,2
507,208300,7862,1218,0,0,2,0,2,1,0,2
508,161000,9600,1378,0,0,2,0,3,1,1,2
509,124500,9600,1041,1,0,1,0,3,1,0,1
510,164900,14559,1363,1,0,1,0,2,1,2,1
511,202665,6792,1368,0,0,2,0,2,1,1,2
512,129900,9100,864,1,0,1,0,3,1,0,2
513,134000,9187,1080,0,0,1,1,3,1,0,2
514,96500,10594,789,0,0,1,0,2,1,0,1
515,402861,12220,2020,1,0,2,1,3,1,1,3
516,158000,10448,2119,0,0,2,1,3,1,1,2
517,265000,10208,2344,0,0,2,1,3,1,1,3
518,211000,9531,1796,1,0,2,1,3,1,0,2
519,234000,10918,2080,0,0,1,1,3,1,2,1
520,106250,10800,1294,0,0,2,0,3,2,0,0
521,150000,11988,1244,0,0,1,1,3,1,2,1
522,159000,5000,1664,0,0,2,0,3,1,2,2
524,315750,11787,2398,1,0,2,1,3,1,1,3
525,176000,7500,1266,0,0,2,0,3,1,1,2
